# L_0 	 M_0 	 beta 	 gamma 	 chi_sqr 	 Number of Bins
17.6500000001	11.3100000001	0.8600000001	0.5300000001	305.871944889	18
17.636694928	11.3229530981	0.814805363683	0.542848220831	297.434719494	18
17.635107378	11.3300919857	0.841925006532	0.54986778956	295.826885089	18
17.6238912875	11.3488628499	0.852532665044	0.458683736271	262.274025301	20
17.6248473429	11.3521011521	0.841920539556	0.495040224702	295.762331822	18
17.620141297	11.3397224983	0.940995234831	0.457781751442	277.696092228	19
17.6286196235	11.3639394789	0.786502310597	0.48553433658	298.605352256	18
17.6143392301	11.3476139021	0.859421369729	0.392966312018	262.081049229	20
17.6144892032	11.3519692495	0.940972577982	0.365893219553	248.42988211	21
17.6154490694	11.3476837275	0.923350299985	0.395164441741	261.749964187	20
17.6030212361	11.3599792725	0.901518170295	0.481490026145	285.874649899	18
17.606627107	11.3466706594	0.902100607069	0.438749676159	255.69584673	20
17.6200117513	11.3644307218	0.948466422877	0.412172542333	247.236377131	21
17.6161853782	11.3691474134	0.93798716187	0.417897485772	245.283960532	21
17.6131164299	11.3584797102	0.928547567761	0.425700006468	245.132575813	21
17.6083375902	11.3498245136	0.958868758687	0.458989958677	272.910244262	19
17.6113494977	11.3670935262	0.923599892217	0.374388263047	246.46618662	21
17.6165122028	11.3449315957	0.902350102319	0.380275209216	263.656523407	20
17.6205952304	11.3617798915	0.980645044812	0.441590883309	246.247439566	21
17.5917553101	11.3713547629	0.94495189958	0.39230081374	238.129707488	21
17.5892353109	11.3774873015	0.955196462794	0.420586578637	235.375218263	21
17.5889433807	11.3683231527	0.942229105256	0.402176288036	236.844760451	21
17.5932000755	11.3541905818	0.893501694661	0.434676173775	236.663334031	21
17.6081769704	11.339563771	0.887038408394	0.357161727512	261.774810834	20
17.6014194282	11.3447706399	0.92109432242	0.347901027953	246.012829815	21
17.5962678563	11.3530892664	0.855870726115	0.562361926993	274.180106698	18
17.5896803136	11.347591772	0.878337139151	0.421192821974	250.448027873	20
17.5931946134	11.3436581566	0.92178295036	0.590394509089	289.289782795	17
17.6005070013	11.361191555	0.963112644158	0.466998495112	268.237071605	19
17.6058222422	11.3557337636	0.917807845814	0.447302710018	241.013612319	21
17.5918599857	11.3510908226	0.918154200563	0.360596009657	241.225491176	21
17.5998802962	11.3440593436	0.897833820703	0.404454764608	255.389526772	20
17.5946623893	11.3570474257	0.980578500815	0.319516057157	243.10387285	21
17.6048149533	11.3664624524	0.920850120563	0.347828059477	245.550511752	21
17.6039913418	11.3326348542	0.935084955158	0.463837267965	288.691271813	18
17.582144387	11.3560420661	0.902532726866	0.567812441182	268.020879252	18
17.5988880322	11.3438853934	0.917041635492	0.407515750967	240.874598861	21
17.5998691736	11.3562365034	0.942919542537	0.448746032247	253.369361055	20
17.6098562501	11.3566852901	0.901949426491	0.393200678198	260.15373474	20
17.5894655507	11.3427662741	0.980805079315	0.553067932335	255.313795351	19
17.5941533952	11.3695251092	0.921768077217	0.507805920796	262.796124549	19
17.6020199923	11.3721844582	0.923385900306	0.340161207211	243.867451213	21
17.5893191398	11.3576798296	0.855617466806	0.3759339961	252.391568348	20
17.5953810277	11.3554119766	0.951432411399	0.420985136984	238.886738961	21
17.5803878205	11.3549788378	0.924460326656	0.422578873525	232.748303044	21
17.5833251671	11.3574826968	0.862470368554	0.392258612695	249.022918607	20
17.5746166009	11.3835283274	0.878723654768	0.424428874803	230.622146132	21
17.5803640895	11.3921789524	0.892202356353	0.516591310309	255.802924006	19
17.5669245288	11.3634227696	0.819900401042	0.527211362954	263.268274444	18
17.5806120443	11.3864397342	0.869065735909	0.478165472604	258.078906809	19
17.5570638062	11.4014512022	0.829931416048	0.477143702545	247.698444788	19
17.5739778116	11.3606922652	0.854574301374	0.430081243222	259.763399487	19
17.5761688207	11.3907521246	0.876618995164	0.417252406446	230.659040316	21
17.5661016867	11.3976472746	0.955086444038	0.517657419669	248.683778719	19
17.5739678777	11.3964664799	0.923165395029	0.471064779014	255.639599737	19
17.5632693628	11.400679616	0.802141558222	0.380449737913	226.915894072	21
17.5608455671	11.4087215704	0.814192488932	0.332876374322	228.475344513	21
17.5460053236	11.3987786233	0.904301401939	0.358426936265	221.615905824	21
17.5589233763	11.4026889293	0.87469201701	0.307610968696	228.413877728	21
17.5509058736	11.4068600584	0.862593022273	0.431856672922	248.091946984	19
17.5433147752	11.3763667553	0.873606259815	0.261592511136	226.775849675	21
17.5420662435	11.406978909	0.93671347766	0.29901558198	222.458237322	21
17.5394469218	11.3838129	0.83733513934	0.354420952261	220.017701956	21
17.5262407213	11.3815718161	0.810285710717	0.371296530042	214.828965754	21
17.5125270682	11.3840364045	0.792828351539	0.359691306733	210.26041331	21
17.5205343861	11.3866211696	0.848517932872	0.380804612096	212.638022623	21
17.5204965034	11.3933128266	0.737996300765	0.364248833593	211.673533184	21
17.5136848917	11.38554203	0.709580944272	0.497435351156	239.408019784	18
17.5331184592	11.3965192945	0.802630140506	0.282135905144	221.144834076	21
17.5342826518	11.4052619679	0.787250954694	0.395887839508	215.183992882	21
17.5410730308	11.4080773542	0.844210141928	0.362765435639	218.862322477	21
17.511028374	11.3972106666	0.630611373515	0.398066074407	246.942662826	18
17.5192082228	11.387607254	0.838854440789	0.338093749915	213.381000613	21
17.5177606524	11.4044579119	0.741270729026	0.484358434446	229.679704552	19
17.5313839921	11.3834069934	0.74917293256	0.408528553063	257.280384581	18
17.5257821278	11.4068490684	0.770863411579	0.372024305186	213.39856116	21
17.5226702046	11.4027769369	0.712475915076	0.430353946821	250.919010235	18
17.5228787497	11.3922976486	0.808207471285	0.244506703267	218.886589096	21
17.5139322144	11.3997760856	0.870737462708	0.319269903552	211.961499499	21
17.5146399475	11.4088126755	0.796752532057	0.32948110078	211.245837638	21
17.5053202531	11.4024455715	0.811849453796	0.299765712579	209.43381597	21
17.5232784526	11.4110909552	0.825037179646	0.233634525782	218.252679802	21
17.5108951685	11.3941486455	0.907180310194	0.288423965836	213.253518575	21
17.4971293097	11.3923230988	0.848181090614	0.279606060814	208.780622893	21
17.5063048141	11.3966209005	0.888914738736	0.223331850041	213.957027275	21
17.4851722269	11.3890723648	0.83721100225	0.220318507428	207.197056816	21
17.4980703811	11.3853138927	0.836346915689	0.235160978758	211.324751938	21
17.4960265821	11.3962195675	0.834080213747	0.324922141441	205.194437195	21
17.4835556286	11.4060232005	0.80322553238	0.362858650452	210.871281937	20
17.5060174084	11.397148566	0.830953408443	0.354090617947	207.839899578	21
17.4804018623	11.3839655724	0.920771768685	0.293904801649	202.479321734	21
17.4837148622	11.3882298956	0.914418897254	0.348749169057	200.41604399	21
17.4922469488	11.3845099073	0.90579473539	0.292168839593	207.032270287	21
